account_id,created_at,creator_id,members,company_size,status,first_plan,last_plan,first_date_mrr,last_date_mrr,seats
3074457346462823501,2019-02-19 08:27:31 UTC,3074457346462831223,1,,,,,,,
3074457346440375807,2019-02-07 07:09:05 UTC,3074457346432711125,1,,,,,,,
3074457346460284556,2019-02-18 02:37:55 UTC,3074457346460323151,1,,,,,,,
3074457346455455776,2019-02-14 16:50:01 UTC,3074457346455432283,1,,,,,,,
3074457346441454933,2019-02-07 15:56:42 UTC,3074457346441440163,1,,,,,,,
3074457346477072704,2019-02-26 10:51:28 UTC,3074457346477072698,1,,,,,,,
3074457346454228325,2019-02-14 06:26:29 UTC,3074457346454228324,1,,,,,,,
3074457346429523564,2019-02-01 09:34:47 UTC,3074457346429525532,1,,,,,,,
3074457346433329910,2019-02-04 03:45:03 UTC,3074457346433317812,1,,,,,,,
3074457346470024665,2019-02-22 08:21:29 UTC,3074457346470024663,1,,,,,,,
3074457346443710700,2019-02-08 15:30:19 UTC,3074457346443710698,1,,,,,,,
3074457346445979793,2019-02-10 10:27:38 UTC,3074457345956545551,1,,,,,,,
3074457346438078619,2019-02-06 08:02:26 UTC,3074457346437988599,1,,,,,,,
3074457346446852645,2019-02-11 01:09:52 UTC,3074457346420476119,1,,,,,,,
3074457346449219213,2019-02-12 03:05:36 UTC,3074457346449191478,1,,,,,,,
3074457346445265400,2019-02-09 17:09:40 UTC,3074457346445265394,1,,,,,,,
3074457346460499035,2019-02-18 07:21:58 UTC,3074457346460536652,1,,,,,,,
3074457346477997958,2019-02-26 16:26:38 UTC,3074457346477975203,1,,,,,,,
3074457346444441407,2019-02-08 23:59:13 UTC,3074457346444398847,1,,,,,,,
3074457346465010011,2019-02-20 03:40:18 UTC,3074457346464982159,1,,,,,,,
3074457346435858819,2019-02-05 09:51:30 UTC,3074457346435848499,1,,,,,,,
3074457346481820381,2019-02-28 08:37:28 UTC,3074457346481860608,1,,,,,,,
3074457346447051746,2019-02-11 07:07:13 UTC,3074457346447051744,1,,,,,,,
3074457346478854394,2019-02-26 23:23:49 UTC,3074457346478845267,1,,,,,,,
3074457346473378991,2019-02-24 13:28:05 UTC,3074457345936763076,1,,,,,,,
3074457346471183073,2019-02-22 17:14:23 UTC,3074457346471194883,1,,,,,,,
3074457346479607050,2019-02-27 10:59:21 UTC,3074457346479609924,1,,,,,,,
3074457346471367651,2019-02-22 18:33:27 UTC,3074457346471288291,1,,,,,,,
3074457346481197475,2019-02-27 21:39:47 UTC,3074457346481197473,1,,,,,,,
3074457346461222865,2019-02-18 13:34:09 UTC,3074457346461222863,1,,,,,,,
3074457346477608528,2019-02-26 14:49:58 UTC,3074457346462869540,1,,,,,,,
3074457346481277510,2019-02-27 22:41:12 UTC,3074457346481277507,1,,,,,,,
3074457346454638151,2019-02-14 11:33:19 UTC,3074457346454640369,1,,,,,,,
3074457346447313806,2019-02-11 09:51:00 UTC,3074457346447313802,1,,,,,,,
